H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
124.99853,176.42984,1.77682,70.189995,1.77682,106.23985,96.484055,-16.194647,1.3041652,-10.239526,-1.1653926,1,61.327885,0.2851947,3.105554,1.1818348,-1,1,39.335304,-1.6340749,-2.2614005,1.5233097,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99777,210.67421,1.77682,116.35381,1.77682,94.32039,17.95202,2.823221,7.7572193,-4.7317624,9.214937,1,42.108135,1.4460677,-0.6777089,0.14847566,-1,1,50.456894,0.84655565,2.3347604,1.370681,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.0003,171.56017,1.77682,130.57693,1.77682,40.98323,36.641865,-8.7488575,-3.653011,-14.653359,-15.34819,1,31.916367,1.5254729,-1.49779,5.786509,-1,1,23.116276,-0.168483,2.2759404,1.6361235,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00239,164.51807,1.77682,78.119965,1.77682,86.3981,45.533478,24.261463,-13.581339,17.685938,-12.599877,3,33.299675,0.74461704,-0.436413,0.1056583755,-1,1,66.36249,0.59564215,-2.9046314,0.14581467,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00011,188.54034,1.77682,47.962322,1.77682,140.57802,138.37843,-75.83182,-80.08871,-78.869156,-66.88199,1,25.51083,-0.96419543,-0.82676744,4.1892996,-1,1,44.51936,0.052788064,-2.5739486,3.2924306,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00131,240.01573,1.77682,125.76657,1.77682,114.24916,35.99984,13.400315,-6.4136734,9.465289,-7.7556477,1,44.04622,-1.176202,0.3749998,2.389671,-1,1,40.459194,-1.2563741,-2.245744,3.2745028,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99909,158.35127,1.77682,32.85643,1.77682,125.49484,96.63642,-28.14416,36.560055,-25.17271,52.303303,1,26.703896,-0.6579133,-1.439913,4.8700323,-1,3,58.579006,0.24073932,1.9953424,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.002655,220.07619,1.77682,139.9444,1.77682,80.13178,0.2531435,-24.881323,-3.878775,-24.436806,-0.91471684,1,59.533302,-1.5276495,0.115470566,3.018678,-1,1,29.554207,-0.8006087,-3.0439782,4.3764157,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00376,157.98709,1.77682,90.904335,1.77682,67.08276,45.422245,9.713005,-22.630514,2.9825313,-11.59864,1,45.783585,-1.2308742,-2.5854404,5.301695,-1,1,52.268547,-0.119516484,-0.19978094,1.0919509,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.98897,178.77872,1.77682,103.74446,1.77682,75.03426,70.875,-4.995595,-2.477353,4.0534854,6.530107,1,52.429607,1.2063801,1.8298732,1.473097,-1,1,66.97104,0.27540964,-0.19984317,8.583584,-1,303.1640621297727,2.93050529468397,299.52846075415385
